from_airport_code,from_country,dest_airport_code,dest_country,aircraft_type,airline_number,airline_name,flight_number,departure_time,arrival_time,duration,stops,price,currency,co2_emissions,avg_co2_emission_for_this_route,co2_percentage,scan_date
HGH,China,CTU,China,Airbus A321,CA,[Air China],CA8513,2022-05-07 08:55:00,2022-05-07 11:55:00,180,0,,USD,200000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,CA,[Air China],CA1779,2022-05-07 15:10:00,2022-05-07 18:05:00,175,0,,USD,189000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321,CA,[Air China],CA8581,2022-05-07 18:30:00,2022-05-07 21:35:00,185,0,,USD,200000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321,CA,[Air China],CA4534,2022-05-07 22:30:00,2022-05-08 01:35:00,185,0,,USD,191000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321 (Sharklets),3U,[Sichuan Airlines],3U8920,2022-05-15 09:00:00,2022-05-15 11:55:00,175,0,208.00,USD,186000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321 (Sharklets),3U,[Sichuan Airlines],3U8912,2022-05-15 10:55:00,2022-05-15 13:55:00,180,0,231.00,USD,158000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321 (Sharklets),3U,[Sichuan Airlines],3U8918,2022-05-15 19:05:00,2022-05-15 22:05:00,180,0,231.00,USD,158000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,MU,[China Eastern],MU6172,2022-05-15 13:15:00,2022-05-15 16:05:00,170,0,394.00,USD,191000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321,CA,[Air China],CA4520,2022-05-15 10:55:00,2022-05-15 14:05:00,190,0,,USD,200000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,EU,[Chengdu Airlines],EU2260,2022-05-15 20:45:00,2022-05-15 23:55:00,190,0,,USD,166000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,MU,[China Eastern],MU5496,2022-05-15 20:30:00,2022-05-15 23:30:00,180,0,394.00,USD,191000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,MU,[China Eastern],MU6092,2022-05-15 21:30:00,2022-05-16 00:25:00,175,0,394.00,USD,191000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,CA,[Air China],CA1741,2022-05-15 07:45:00,2022-05-15 10:35:00,170,0,,USD,189000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321,CA,[Air China],CA8513,2022-05-15 08:55:00,2022-05-15 11:55:00,180,0,,USD,200000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,CA,[Air China],CA1779,2022-05-15 15:10:00,2022-05-15 18:05:00,175,0,,USD,200000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321,CA,[Air China],CA8581,2022-05-15 18:30:00,2022-05-15 21:35:00,185,0,,USD,200000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321,CA,[Air China],CA4534,2022-05-15 22:30:00,2022-05-16 01:35:00,185,0,,USD,191000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321 (Sharklets),3U,[Sichuan Airlines],3U8920,2022-05-30 09:00:00,2022-05-30 11:55:00,175,0,208.00,USD,186000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,3U,[Sichuan Airlines],3U8922,2022-05-30 20:00:00,2022-05-30 23:05:00,185,0,208.00,USD,183000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,3U,[Sichuan Airlines],3U8912,2022-05-30 10:55:00,2022-05-30 13:55:00,180,0,231.00,USD,150000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,3U,[Sichuan Airlines],3U8918,2022-05-30 19:05:00,2022-05-30 22:05:00,180,0,231.00,USD,150000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,MU,[China Eastern],MU6172,2022-05-30 13:15:00,2022-05-30 16:05:00,170,0,394.00,USD,191000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A330,CA,[Air China],CA4520,2022-05-30 10:55:00,2022-05-30 14:05:00,190,0,,USD,160000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,EU,[Chengdu Airlines],EU2260,2022-05-30 20:45:00,2022-05-30 23:55:00,190,0,,USD,166000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,MU,[China Eastern],MU5496,2022-05-30 20:30:00,2022-05-30 23:30:00,180,0,394.00,USD,191000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,MU,[China Eastern],MU6092,2022-05-30 21:30:00,2022-05-31 00:25:00,175,0,394.00,USD,191000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A320,CA,[Air China],CA1741,2022-05-30 07:45:00,2022-05-30 10:35:00,170,0,,USD,189000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321,CA,[Air China],CA8513,2022-05-30 08:55:00,2022-05-30 11:55:00,180,0,,USD,200000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321,CA,[Air China],CA1779,2022-05-30 15:10:00,2022-05-30 18:05:00,175,0,,USD,200000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A321,CA,[Air China],CA8581,2022-05-30 18:30:00,2022-05-30 21:35:00,185,0,,USD,200000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A330,CA,[Air China],CA4534,2022-05-30 22:30:00,2022-05-31 01:35:00,185,0,,USD,160000,,,2022-04-29 17:52:59
